Left Image, Right Image, Better One (0 - Left; 1 - Equal; 2 - Right)
3-177925123-2-3.jpeg, 2-245518311-9-0.jpeg, 0
3-237271806-10-3.jpeg, 2-45167731-4-0.jpeg, 0
0-95768284-41-0.jpeg, 4-478286978-10-0.jpeg, 0
4-178844341-5-3.jpeg, 1-57154008-0-3.jpeg, 2
3-447971153-1-3.jpeg, 3-40299122-5-0.jpeg, 2
3-336880012-4-3.jpeg, 2-11272377-0-3.jpeg, 2
4-136231472-3-3.jpeg, 0-47283891-6-3.jpeg, 0
2-177741555-1-0.jpeg, 1-436404912-17-3.jpeg, 2
3-40033034-8-3.jpeg, 2-9068079-15-3.jpeg, 0
4-161976675-5-0.jpeg, 3-160615403-7-0.jpeg, 0
1-50783219-60-0.jpeg, 1-10639460-30-0.jpeg, 2
3-58654176-10-0.jpeg, 1-8886591-7-3.jpeg, 0
4-44472957-61-3.jpeg, 2-135721894-5-3.jpeg, 2
0-135626788-8-0.jpeg, 3-163764251-23-0.jpeg, 0
4-159538492-13-3.jpeg, 1-177684430-57-3.jpeg, 2
1-12088962-8-3.jpeg, 0-50783189-26-0.jpeg, 0
1-244590072-12-3.jpeg, 2-178583140-21-3.jpeg, 2
3-51964864-0-3.jpeg, 4-177691050-3-0.jpeg, 2
4-55969372-2-0.jpeg, 4-266066444-11-0.jpeg, 2
3-49206236-6-3.jpeg, 3-60186102-5-3.jpeg, 0
0-24474442-3-0.jpeg, 4-39961090-1-3.jpeg, 0
1-74032719-9-0.jpeg, 4-34493804-0-3.jpeg, 0
3-439447817-9-3.jpeg, 1-160077564-5-3.jpeg, 2
3-9205212-2-0.jpeg, 2-148734982-55-3.jpeg, 0
4-10632124-19-0.jpeg, 2-275664541-2-0.jpeg, 0
0-50783189-26-0.jpeg, 0-302711478-0-3.jpeg, 2
2-237049331-7-0.jpeg, 4-44121335-1-0.jpeg, 2
2-71293415-9-0.jpeg, 1-8886591-7-3.jpeg, 0
4-50843200-5-0.jpeg, 0-95768284-41-0.jpeg, 2
3-137107928-1-3.jpeg, 4-148112387-96-0.jpeg, 0
3-163764156-4-3.jpeg, 1-72061887-9-3.jpeg, 0
1-34292307-8-0.jpeg, 2-257148518-31-0.jpeg, 0
